BNodes,BlCStatus,BlCuts,Error,NSub,Opt,Opt_status,SepaTime,Solver,big_m_mode,budget_fraction,case_id,city,dominance_enabled,enable_output_logs,gap,instance_aggregation_target_nodes,instance_bike_layer_risk_count,instance_bike_possible_stations,instance_bike_transfer_risk_count,instance_budget_fraction,instance_decision_arcs,instance_decision_budget,instance_name,instance_narcs,instance_nnodes,instance_nusers,model_big_m_mode,model_bound_duals,model_enum_runtime,model_enumeration_time_limit,model_fixed_path_bound_method,model_indicator_constraints,model_master_variable_count,model_model_type,model_name,model_parallelize,model_path_counts,model_runtime_override,model_subproblem_binary_linking_variable_count_total,model_subproblem_first_level_variable_count_total,model_subproblem_method,model_subproblem_second_level_variable_count_total,model_use_decision_arc_dominance,nusers,parallel_separation,parallel_subsolver_workers_used,param_mip_solver,param_name,param_parallel_separation,param_runtime,param_seed,param_threads_master,param_threads_sub_con,retained_stations,reused_100_user,reused_previous_result,run_status,runtime,station_selection,sweep_name,threads_master_used,threads_sub_con_used,time_limit,wall_time_seconds
0,,,,,0.0,Optimal,,MIPSolver,,0.5,cologne_network_balanced_n200_b50_u100_path_dominance,cologne,true,false,0.0,200,4381,200,200,0.5,400,100,aachen_osm_gtfs_bike_agg200_p200_b50_u100,27803,800,100,,,4.3379998207092285,600.0,labeling,,,path,path_dominance,false,"{""U45"":1,""U23"":1,""U49"":1,""U96"":1,""U10"":1,""U4"":1,""U60"":1,""U5"":1,""U62"":1,""U98"":1,""U2"":1,""U74"":1,""U19"":1,""U37"":1,""U44"":1,""U91"":1,""U92"":1,""U82"":1,""U73"":1,""U81"":1,""U85"":1,""U53"":1,""U16"":1,""U8"":1,""U41"":1,""U95"":1,""U32"":1,""U31"":1,""U47"":1,""U7"":1,""U25"":1,""U75"":1,""U50"":1,""U83"":1,""U93"":1,""U94"":1,""U78"":1,""U84"":1,""U46"":1,""U39"":1,""U68"":1,""U71"":1,""U58"":1,""U12"":1,""U1"":1,""U24"":1,""U42"":1,""U43"":1,""U87"":1,""U3"":1,""U36"":1,""U21"":1,""U63"":1,""U88"":1,""U20"":1,""U30"":1,""U33"":1,""U80"":1,""U66"":1,""U79"":1,""U27"":1,""U48"":1,""U57"":1,""U76"":1,""U64"":1,""U99"":1,""U9"":1,""U15"":1,""U29"":1,""U97"":1,""U14"":1,""U67"":1,""U6"":1,""U77"":1,""U61"":1,""U13"":1,""U51"":1,""U28"":1,""U100"":1,""U52"":1,""U17"":1,""U22"":1,""U69"":1,""U65"":1,""U59"":1,""U56"":1,""U11"":1,""U86"":1,""U26"":1,""U40"":1,""U72"":1,""U70"":1,""U34"":1,""U38"":1,""U89"":1,""U55"":1,""U18"":1,""U35"":1,""U90"":1,""U54"":1}",595.6620001792908,,,,,true,100,,,Gurobi,gurobi_10min,true,600.0,20260829,8,8,200,true,true,ok,0.020999908447265625,network_balanced,network_balanced_hardness_sweep,8,,595.6620001792908,4.493000030517578
0,,,,,0.0,Optimal,,MIPSolver,,0.5,cologne_network_balanced_n200_b50_u100_path_no_dominance,cologne,false,false,0.0,200,4381,200,200,0.5,400,100,aachen_osm_gtfs_bike_agg200_p200_b50_u100,27803,800,100,,,3.8350000381469727,600.0,labeling,,,path,path_no_dominance,false,"{""U45"":2,""U23"":1,""U49"":1,""U96"":1,""U10"":2,""U4"":1,""U60"":1,""U5"":1,""U62"":1,""U98"":1,""U2"":1,""U74"":1,""U19"":1,""U37"":1,""U44"":1,""U91"":1,""U92"":1,""U82"":1,""U73"":1,""U81"":1,""U85"":1,""U53"":1,""U16"":1,""U8"":1,""U41"":1,""U95"":1,""U32"":1,""U31"":1,""U47"":1,""U7"":1,""U25"":1,""U75"":1,""U50"":1,""U83"":1,""U93"":1,""U94"":1,""U78"":1,""U84"":1,""U46"":1,""U39"":1,""U68"":1,""U71"":1,""U58"":1,""U12"":1,""U1"":1,""U24"":1,""U42"":1,""U43"":1,""U87"":1,""U3"":1,""U36"":1,""U21"":1,""U63"":1,""U88"":1,""U20"":1,""U30"":1,""U33"":1,""U80"":1,""U66"":1,""U79"":1,""U27"":1,""U48"":1,""U57"":1,""U76"":1,""U64"":1,""U99"":1,""U9"":1,""U15"":1,""U29"":1,""U97"":1,""U14"":1,""U67"":1,""U6"":1,""U77"":1,""U61"":1,""U13"":1,""U51"":1,""U28"":1,""U100"":1,""U52"":1,""U17"":1,""U22"":1,""U69"":1,""U65"":1,""U59"":1,""U56"":1,""U11"":1,""U86"":1,""U26"":1,""U40"":1,""U72"":1,""U70"":1,""U34"":1,""U38"":1,""U89"":1,""U55"":1,""U18"":1,""U35"":1,""U90"":1,""U54"":1}",596.164999961853,,,,,false,100,,,Gurobi,gurobi_10min,true,600.0,20260829,8,8,200,true,true,ok,0.020999908447265625,network_balanced,network_balanced_hardness_sweep,8,,596.164999961853,3.992000102996826
121,,,,,-1218.0,Optimal,,MIPSolver,fixed_network_path,0.5,heidelberg_network_balanced_n100_b50_u100_sd_fixed_network_path,heidelberg,,false,0.0,100,1242,100,100,0.5,200,50,aachen_osm_gtfs_bike_agg100_p100_b50_u100,5624,400,100,fixed_network_path,true,,,,false,,sd,sd_fixed_network_path,,,,,,,,,100,,,Gurobi,gurobi_10min,true,600.0,20260829,8,8,100,true,true,ok,74.6489999294281,network_balanced,network_balanced_hardness_sweep,8,,600.0,93.14000010490417
3315,,,,,-1219.249783960886,Timelimit,,MIPSolver,n_minus_one_most_expensive,0.5,heidelberg_network_balanced_n100_b50_u100_sd_n_minus_1,heidelberg,,false,0.06549744035565107,100,1242,100,100,0.5,200,50,aachen_osm_gtfs_bike_agg100_p100_b50_u100,5624,400,100,n_minus_one_most_expensive,true,,,,false,,sd,sd_n_minus_1,,,,,,,,,100,,,Gurobi,gurobi_10min,true,600.0,20260829,8,8,100,true,true,timeout,600.5329999923706,network_balanced,network_balanced_hardness_sweep,8,,600.0,615.5350000858307
1,,400,,100,-1218.0,Optimal,2.0098792,BlCSolver,fixed_network_path,0.5,heidelberg_network_balanced_n100_b50_u100_blc_astar_fixed_network_path,heidelberg,,false,0.0,100,1242,100,100,0.5,200,50,aachen_osm_gtfs_bike_agg100_p100_b50_u100,5624,400,100,fixed_network_path,,,,,,568225,blc,blc_astar_fixed_network_path,,,,0,0,astar,null,,100,true,1,Gurobi,gurobi_10min,true,600.0,20260829,8,8,100,true,true,ok,46.25200009346008,network_balanced,network_balanced_hardness_sweep,8,8,600.0,63.401000022888184
1,,600,,100,-1218.0,Optimal,2.0554276,BlCSolver,n_minus_one_most_expensive,0.5,heidelberg_network_balanced_n100_b50_u100_blc_astar_n_minus_1,heidelberg,,false,0.0,100,1242,100,100,0.5,200,50,aachen_osm_gtfs_bike_agg100_p100_b50_u100,5624,400,100,n_minus_one_most_expensive,,,,,,568225,blc,blc_astar_n_minus_1,,,,0,0,astar,null,,100,true,1,Gurobi,gurobi_10min,true,600.0,20260829,8,8,100,true,true,ok,78.19799995422363,network_balanced,network_balanced_hardness_sweep,8,8,600.0,90.28200006484985
1,,,,,-1218.0,Optimal,,MIPSolver,,0.5,heidelberg_network_balanced_n100_b50_u100_path_dominance,heidelberg,true,false,0.0,100,1242,100,100,0.5,200,50,aachen_osm_gtfs_bike_agg100_p100_b50_u100,5624,400,100,,,0.5909998416900635,600.0,labeling,,,path,path_dominance,false,"{""U45"":1,""U23"":1,""U49"":1,""U96"":1,""U10"":5,""U4"":1,""U60"":1,""U5"":1,""U62"":1,""U98"":1,""U2"":5,""U74"":1,""U19"":1,""U37"":1,""U44"":1,""U91"":5,""U92"":1,""U82"":1,""U73"":1,""U81"":1,""U85"":2,""U53"":1,""U16"":1,""U8"":1,""U41"":1,""U95"":4,""U32"":1,""U31"":3,""U47"":1,""U7"":1,""U25"":1,""U75"":6,""U50"":2,""U83"":1,""U93"":5,""U94"":1,""U78"":4,""U84"":1,""U46"":1,""U39"":1,""U68"":1,""U71"":2,""U58"":1,""U12"":2,""U1"":1,""U24"":2,""U42"":1,""U43"":1,""U87"":11,""U3"":1,""U36"":3,""U21"":7,""U63"":1,""U88"":1,""U20"":1,""U30"":1,""U33"":3,""U80"":1,""U66"":1,""U79"":1,""U27"":1,""U48"":1,""U57"":1,""U76"":1,""U64"":1,""U99"":1,""U9"":1,""U15"":1,""U29"":4,""U97"":1,""U14"":1,""U67"":1,""U6"":2,""U77"":1,""U61"":1,""U13"":2,""U51"":1,""U28"":3,""U100"":1,""U52"":1,""U17"":1,""U22"":1,""U69"":1,""U65"":1,""U59"":1,""U56"":2,""U11"":1,""U86"":1,""U26"":1,""U40"":1,""U72"":1,""U70"":1,""U34"":1,""U38"":1,""U89"":1,""U55"":1,""U18"":1,""U35"":1,""U90"":1,""U54"":1}",599.4090001583099,,,,,true,100,,,Gurobi,gurobi_10min,true,600.0,20260829,8,8,100,true,true,ok,0.029000043869018555,network_balanced,network_balanced_hardness_sweep,8,,599.4090001583099,0.6499998569488525
1,,,,,-1218.0,Optimal,,MIPSolver,,0.5,heidelberg_network_balanced_n100_b50_u100_path_no_dominance,heidelberg,false,false,0.0,100,1242,100,100,0.5,200,50,aachen_osm_gtfs_bike_agg100_p100_b50_u100,5624,400,100,,,0.5929999351501465,600.0,labeling,,,path,path_no_dominance,false,"{""U45"":1,""U23"":1,""U49"":1,""U96"":2,""U10"":9,""U4"":1,""U60"":1,""U5"":1,""U62"":1,""U98"":2,""U2"":7,""U74"":1,""U19"":1,""U37"":1,""U44"":1,""U91"":5,""U92"":1,""U82"":1,""U73"":1,""U81"":1,""U85"":3,""U53"":2,""U16"":1,""U8"":1,""U41"":1,""U95"":7,""U32"":1,""U31"":3,""U47"":2,""U7"":1,""U25"":1,""U75"":17,""U50"":2,""U83"":1,""U93"":98,""U94"":1,""U78"":6,""U84"":1,""U46"":1,""U39"":1,""U68"":1,""U71"":2,""U58"":1,""U12"":2,""U1"":1,""U24"":2,""U42"":1,""U43"":1,""U87"":26,""U3"":1,""U36"":3,""U21"":67,""U63"":1,""U88"":1,""U20"":2,""U30"":1,""U33"":24,""U80"":1,""U66"":1,""U79"":1,""U27"":1,""U48"":1,""U57"":1,""U76"":1,""U64"":1,""U99"":1,""U9"":1,""U15"":2,""U29"":19,""U97"":1,""U14"":2,""U67"":1,""U6"":2,""U77"":1,""U61"":1,""U13"":2,""U51"":2,""U28"":15,""U100"":1,""U52"":2,""U17"":1,""U22"":1,""U69"":1,""U65"":1,""U59"":1,""U56"":15,""U11"":1,""U86"":1,""U26"":1,""U40"":1,""U72"":1,""U70"":1,""U34"":1,""U38"":1,""U89"":1,""U55"":1,""U18"":1,""U35"":1,""U90"":1,""U54"":1}",599.4070000648499,,,,,false,100,,,Gurobi,gurobi_10min,true,600.0,20260829,8,8,100,true,true,ok,0.029000043869018555,network_balanced,network_balanced_hardness_sweep,8,,599.4070000648499,0.6700000762939453
79,,,,,-1214.0,Optimal,,MIPSolver,fixed_network_path,0.5,heidelberg_network_balanced_n200_b50_u100_sd_fixed_network_path,heidelberg,,false,0.0,200,2802,200,200,0.5,400,100,aachen_osm_gtfs_bike_agg200_p200_b50_u100,10346,800,100,fixed_network_path,true,,,,false,,sd,sd_fixed_network_path,,,,,,,,,100,,,Gurobi,gurobi_10min,true,600.0,20260829,8,8,200,true,true,ok,137.47499990463257,network_balanced,network_balanced_hardness_sweep,8,,600.0,180.875
1087,,,,,-1225.748504604888,Timelimit,,MIPSolver,n_minus_one_most_expensive,0.5,heidelberg_network_balanced_n200_b50_u100_sd_n_minus_1,heidelberg,,false,0.10870198526397724,200,2802,200,200,0.5,400,100,aachen_osm_gtfs_bike_agg200_p200_b50_u100,10346,800,100,n_minus_one_most_expensive,true,,,,false,,sd,sd_n_minus_1,,,,,,,,,100,,,Gurobi,gurobi_10min,true,600.0,20260829,8,8,200,true,true,timeout,601.4639999866486,network_balanced,network_balanced_hardness_sweep,8,,600.0,634.8619999885559
