average_paths_per_processed_user,bound_fallbacks,budget_fraction,city,dominance_enabled,enumeration_limit_seconds,enumeration_seconds,max_paths_per_user,median_paths_per_processed_user,multi_path_users,multimodal_paths,multimodal_users,network_arcs,network_nodes,nusers_requested,retained_stations,run_status,timed_out,total_paths,users_processed,users_with_paths,wall_time_seconds
1.0655,0,0.5,karlsruhe,false,120.0,41.829999685287476,3,1.0,630,66,58,4270,200,10000,50,ok,false,10655,10000,10000,41.85599994659424
1.039,0,0.5,karlsruhe,true,120.0,9.401000022888184,3,1.0,34,43,43,8756,400,1000,100,ok,false,1039,1000,1000,9.41100001335144
1.051,0,0.5,karlsruhe,false,120.0,9.158000230789185,3,1.0,42,44,43,8756,400,1000,100,ok,false,1051,1000,1000,9.166000127792358
1.0515,0,0.5,karlsruhe,true,120.0,94.22599983215332,9,1.0,385,433,409,8756,400,10000,100,ok,false,10515,10000,10000,94.24600005149841
1.0725,0,0.5,karlsruhe,false,120.0,93.73900008201599,16,1.0,473,451,409,8756,400,10000,100,ok,false,10725,10000,10000,93.76500010490417
1.082,0,0.5,karlsruhe,true,120.0,16.937999963760376,6,1.0,54,49,46,13876,600,1000,150,ok,false,1082,1000,1000,16.937999963760376
1.142,0,0.5,karlsruhe,false,120.0,16.538000106811523,12,1.0,82,57,47,13876,600,1000,150,ok,false,1142,1000,1000,16.538000106811523
1.0705452501405284,1,0.5,karlsruhe,true,120.0,119.95499992370605,7,1.0,342,394,359,13876,600,10000,150,ok,true,7618,7116,7116,120.00999999046326
1.1263950892857142,1,0.5,karlsruhe,false,120.0,119.94599962234497,30,1.0,506,461,365,13876,600,10000,150,ok,true,8074,7168,7168,120.0
1.1,0,0.5,karlsruhe,true,120.0,21.68400001525879,7,1.0,59,92,82,16986,800,1000,200,ok,false,1100,1000,1000,21.68400001525879
1.249,0,0.5,karlsruhe,false,120.0,21.8439998626709,28,1.0,116,117,82,16986,800,1000,200,ok,false,1249,1000,1000,21.85700011253357
1.1022975929978118,1,0.5,karlsruhe,true,120.0,119.97900032997131,14,1.0,291,542,450,16986,800,10000,200,ok,true,6045,5484,5484,120.0019998550415
1.2611151603498543,1,0.5,karlsruhe,false,120.0,119.97699999809265,40,1.0,614,738,455,16986,800,10000,200,ok,true,6921,5488,5488,120.00300002098083
